"id","tag_id","time_stamp","value","units_abbreviation","good","questionable","substituted","annotated"
"762","762","2024-09-13 09:10:04.76001","22.6203117","",True,False,False,False
"1762","762","2024-09-13 09:18:05.818008","22.3878117","",True,False,False,False
"2762","762","2024-09-13 09:18:05.818008","22.3878117","",True,False,False,False
"3762","762","2024-09-13 09:20:05.696014","22.3975","",True,False,False,False
"4762","762","2024-09-13 09:21:05.99501","22.4168739","",True,False,False,False
"5762","762","2024-09-13 09:21:05.99501","22.4168739","",True,False,False,False
"6762","762","2024-09-13 09:23:05.764008","22.4362488","",True,False,False,False
"7762","762","2024-09-13 09:23:05.764008","22.4362488","",True,False,False,False
"8762","762","2024-09-13 09:25:06.766006","22.4265614","",True,False,False,False
"9762","762","2024-09-13 09:25:06.766006","22.4265614","",True,False,False,False
"10762","762","2024-09-13 09:25:06.766006","22.4265614","",True,False,False,False
"11762","762","2024-09-13 09:25:06.766006","22.4265614","",True,False,False,False
"12762","762","2024-09-13 09:29:07.825012","22.4362488","",True,False,False,False
"13762","762","2024-09-13 09:29:07.825012","22.4362488","",True,False,False,False
"14762","762","2024-09-13 09:29:07.825012","22.4362488","",True,False,False,False
"15762","762","2024-09-13 09:33:07.715012","22.4556236","",True,False,False,False
"16762","762","2024-09-13 09:33:07.715012","22.4556236","",True,False,False,False
"17762","762","2024-09-13 09:35:08.577011","22.4459362","",True,False,False,False
"18762","762","2024-09-13 09:35:08.577011","22.4459362","",True,False,False,False
"19762","762","2024-09-13 09:36:07.961014","22.4556236","",True,False,False,False
"20762","762","2024-09-13 09:36:07.961014","22.4556236","",True,False,False,False
"21762","762","2024-09-13 09:37:08.361008","22.4653111","",True,False,False,False
"22762","762","2024-09-13 09:37:08.361008","22.4653111","",True,False,False,False
"23762","762","2024-09-13 09:38:08.761002","22.4459362","",True,False,False,False
"24762","762","2024-09-13 09:38:08.761002","22.4459362","",True,False,False,False
"25762","762","2024-09-13 09:39:09.208008","22.4556236","",True,False,False,False
"26762","762","2024-09-13 09:39:09.208008","22.4556236","",True,False,False,False
"27762","762","2024-09-13 09:40:08.545013","22.4749985","",True,False,False,False
"28762","762","2024-09-13 09:40:08.545013","22.4749985","",True,False,False,False
"29762","762","2024-09-13 09:41:09.02301","22.4846859","",True,False,False,False
"30762","762","2024-09-13 09:41:09.02301","22.4846859","",True,False,False,False
"31762","762","2024-09-13 09:42:09.57901","22.4943752","",True,False,False,False
"32762","762","2024-09-13 09:42:09.57901","22.4943752","",True,False,False,False
"33762","762","2024-09-13 09:43:09.057007","22.51375","",True,False,False,False
"34762","762","2024-09-13 09:43:09.057007","22.51375","",True,False,False,False
"35762","762","2024-09-13 09:44:09.550003","22.5040627","",True,False,False,False
"36762","762","2024-09-13 09:44:09.550003","22.5040627","",True,False,False,False
"37762","762","2024-09-13 09:44:09.550003","22.5040627","",True,False,False,False
"38762","762","2024-09-13 09:46:09.428009","22.4943752","",True,False,False,False
"39762","762","2024-09-13 09:46:09.428009","22.4943752","",True,False,False,False
"40762","762","2024-09-13 09:47:09.969009","22.5040627","",True,False,False,False
"41762","762","2024-09-13 09:47:09.969009","22.5040627","",True,False,False,False
"42762","762","2024-09-13 09:48:10.462006","22.4943752","",True,False,False,False
"43762","762","2024-09-13 09:48:10.462006","22.4943752","",True,False,False,False
"44762","762","2024-09-13 09:49:10.003006","22.5040627","",True,False,False,False
"45762","762","2024-09-13 09:49:10.003006","22.5040627","",True,False,False,False
"46762","762","2024-09-13 09:50:10.481003","22.5234375","",True,False,False,False
"47762","762","2024-09-13 09:50:10.481003","22.5234375","",True,False,False,False
"48762","762","2024-09-13 09:51:10.974014","22.51375","",True,False,False,False
"49762","762","2024-09-13 09:51:10.974014","22.51375","",True,False,False,False
"50762","762","2024-09-13 09:52:10.515015","22.5234375","",True,False,False,False
"51762","762","2024-09-13 09:52:10.515015","22.5234375","",True,False,False,False
"52762","762","2024-09-13 09:53:11.055008","22.51375","",True,False,False,False
"53762","762","2024-09-13 09:53:11.055008","22.51375","",True,False,False,False
"54762","762","2024-09-13 09:53:11.055008","22.51375","",True,False,False,False
"55762","762","2024-09-13 09:53:11.055008","22.51375","",True,False,False,False
"56762","762","2024-09-13 09:55:10.901001","22.5331249","",True,False,False,False
"57762","762","2024-09-13 09:55:10.901001","22.5331249","",True,False,False,False
"58762","762","2024-09-13 09:56:11.504013","22.5234375","",True,False,False,False
"59762","762","2024-09-13 09:56:11.504013","22.5234375","",True,False,False,False
"60762","762","2024-09-13 09:57:11.98201","22.5331249","",True,False,False,False
"61762","762","2024-09-13 09:57:11.98201","22.5331249","",True,False,False,False
"62762","762","2024-09-13 09:58:11.476013","22.51375","",True,False,False,False
"63762","762","2024-09-13 09:59:11.907013","22.5331249","",True,False,False,False
"64762","762","2024-09-13 09:59:11.907013","22.5331249","",True,False,False,False
"65762","762","2024-09-13 09:59:11.907013","22.5331249","",True,False,False,False
"66762","762","2024-09-13 09:59:11.907013","22.5331249","",True,False,False,False
"67762","762","2024-09-13 10:01:11.660004","22.5428123","",True,False,False,False
"68762","762","2024-09-13 10:01:11.660004","22.5428123","",True,False,False,False
"69762","762","2024-09-13 10:02:12.091003","22.5234375","",True,False,False,False
"70762","762","2024-09-13 10:02:12.091003","22.5234375","",True,False,False,False
"71762","762","2024-09-13 10:03:12.694","22.5331249","",True,False,False,False
"72762","762","2024-09-13 10:03:12.694","22.5331249","",True,False,False,False
"73762","762","2024-09-13 10:04:12.140015","22.5234375","",True,False,False,False
"74762","762","2024-09-13 10:04:12.140015","22.5234375","",True,False,False,False
"75762","762","2024-09-13 10:05:12.681015","22.5525","",True,False,False,False
"76762","762","2024-09-13 10:05:12.681015","22.5525","",True,False,False,False
"77762","762","2024-09-13 10:06:13.253006","22.5428123","",True,False,False,False
"78762","762","2024-09-13 10:06:13.253006","22.5428123","",True,False,False,False
"79762","762","2024-09-13 10:07:12.777008","22.5621872","",True,False,False,False
"80762","762","2024-09-13 10:07:12.777008","22.5621872","",True,False,False,False
"81762","762","2024-09-13 10:07:12.777008","22.5621872","",True,False,False,False
"82762","762","2024-09-13 10:07:12.777008","22.5621872","",True,False,False,False
"83762","762","2024-09-13 10:07:12.777008","22.5621872","",True,False,False,False
"84762","762","2024-09-13 10:07:12.777008","22.5621872","",True,False,False,False
"85762","762","2024-09-13 10:10:13.977005","22.5525","",True,False,False,False
"86762","762","2024-09-13 10:10:13.977005","22.5525","",True,False,False,False
"87762","762","2024-09-13 10:10:13.977005","22.5525","",True,False,False,False
"88762","762","2024-09-13 10:10:13.977005","22.5525","",True,False,False,False
"89762","762","2024-09-13 10:10:13.977005","22.5525","",True,False,False,False
"90762","762","2024-09-13 10:10:13.977005","22.5525","",True,False,False,False
"91762","762","2024-09-13 10:10:13.977005","22.5525","",True,False,False,False
"92762","762","2024-09-13 10:10:13.977005","22.5525","",True,False,False,False
"93762","762","2024-09-13 10:10:13.977005","22.5525","",True,False,False,False
"94762","762","2024-09-13 10:10:13.977005","22.5525","",True,False,False,False
"95762","762","2024-09-13 10:15:14.39801","22.5331249","",True,False,False,False
"96762","762","2024-09-13 10:15:14.39801","22.5331249","",True,False,False,False
"97762","762","2024-09-13 10:16:14.95401","22.5428123","",True,False,False,False
"98762","762","2024-09-13 10:16:14.95401","22.5428123","",True,False,False,False
"99762","762","2024-09-13 10:16:14.95401","22.5428123","",True,False,False,False
"100762","762","2024-09-13 10:16:14.95401","22.5428123","",True,False,False,False
"101762","762","2024-09-13 10:16:14.95401","22.5428123","",True,False,False,False
"102762","762","2024-09-13 10:16:14.95401","22.5428123","",True,False,False,False
"103762","762","2024-09-13 10:19:15.294006","22.5331249","",True,False,False,False
"104762","762","2024-09-13 10:19:15.294006","22.5331249","",True,False,False,False
"105762","762","2024-09-13 10:20:14.709","22.51375","",True,False,False,False
"106762","762","2024-09-13 10:20:14.709","22.51375","",True,False,False,False
"107762","762","2024-09-13 10:21:15.264999","22.5040627","",True,False,False,False
"108762","762","2024-09-13 10:21:15.264999","22.5040627","",True,False,False,False
"109762","762","2024-09-13 10:22:15.728012","22.4943752","",True,False,False,False
"110762","762","2024-09-13 10:22:15.728012","22.4943752","",True,False,False,False
"111762","762","2024-09-13 10:23:16.159012","22.5040627","",True,False,False,False
"112762","762","2024-09-13 10:23:16.159012","22.5040627","",True,False,False,False
"113762","762","2024-09-13 10:24:15.465012","22.4459362","",True,False,False,False
"114762","762","2024-09-13 10:24:15.465012","22.4459362","",True,False,False,False
"115762","762","2024-09-13 10:25:15.865005","22.4362488","",True,False,False,False
"116762","762","2024-09-13 10:25:15.865005","22.4362488","",True,False,False,False
"117762","762","2024-09-13 10:26:16.327011","22.4265614","",True,False,False,False
"118762","762","2024-09-13 10:26:16.327011","22.4265614","",True,False,False,False
"119762","762","2024-09-13 10:27:16.727005","22.4459362","",True,False,False,False
"120762","762","2024-09-13 10:27:16.727005","22.4459362","",True,False,False,False
"121762","762","2024-09-13 10:28:15.986008","22.4265614","",True,False,False,False
"122762","762","2024-09-13 10:28:15.986008","22.4265614","",True,False,False,False
"123762","762","2024-09-13 10:29:16.526001","22.4071865","",True,False,False,False
"124762","762","2024-09-13 10:29:16.526001","22.4071865","",True,False,False,False
"125762","762","2024-09-13 10:30:17.067001","22.3878117","",True,False,False,False
"126762","762","2024-09-13 10:30:17.067001","22.3878117","",True,False,False,False
"127762","762","2024-09-13 10:31:16.513016","22.3975","",True,False,False,False
"128762","762","2024-09-13 10:31:16.513016","22.3975","",True,False,False,False
"129762","762","2024-09-13 10:32:17.070007","22.3684368","",True,False,False,False
"130762","762","2024-09-13 10:32:17.070007","22.3684368","",True,False,False,False
"131762","762","2024-09-13 10:33:17.735001","22.3781242","",True,False,False,False
"132762","762","2024-09-13 10:34:17.104004","22.3684368","",True,False,False,False
"133762","762","2024-09-13 10:34:17.104004","22.3684368","",True,False,False,False
"134762","762","2024-09-13 10:35:17.722","22.3296871","",True,False,False,False
"135762","762","2024-09-13 10:35:17.722","22.3296871","",True,False,False,False
"136762","762","2024-09-13 10:36:17.184006","22.349062","",True,False,False,False
"137762","762","2024-09-13 10:36:17.184006","22.349062","",True,False,False,False
"138762","762","2024-09-13 10:37:17.834015","22.3296871","",True,False,False,False
"139762","762","2024-09-13 10:37:17.834015","22.3296871","",True,False,False,False
"140762","762","2024-09-13 10:38:18.281006","22.3393745","",True,False,False,False
"141762","762","2024-09-13 10:38:18.281006","22.3393745","",True,False,False,False
"142762","762","2024-09-13 10:39:17.728012","22.3296871","",True,False,False,False
"143762","762","2024-09-13 10:39:17.728012","22.3296871","",True,False,False,False
"144762","762","2024-09-13 10:40:18.252014","22.3006248","",True,False,False,False
"145762","762","2024-09-13 10:40:18.252014","22.3006248","",True,False,False,False
"146762","762","2024-09-13 10:41:18.808014","22.2909374","",True,False,False,False
"147762","762","2024-09-13 10:41:18.808014","22.2909374","",True,False,False,False
"148762","762","2024-09-13 10:42:18.333008","22.3006248","",True,False,False,False
"149762","762","2024-09-13 10:42:18.333008","22.3006248","",True,False,False,False
"150762","762","2024-09-13 10:43:18.952011","22.32","",True,False,False,False
"151762","762","2024-09-13 10:43:18.952011","22.32","",True,False,False,False
"152762","762","2024-09-13 10:44:18.52301","22.2909374","",True,False,False,False
"153762","762","2024-09-13 10:44:18.52301","22.2909374","",True,False,False,False
"154762","762","2024-09-13 10:45:19.001007","22.28125","",True,False,False,False
"155762","762","2024-09-13 10:45:19.001007","22.28125","",True,False,False,False
"156762","762","2024-09-13 10:46:19.479004","22.2909374","",True,False,False,False
"157762","762","2024-09-13 10:47:18.957001","22.3006248","",True,False,False,False
"158762","762","2024-09-13 10:47:18.957001","22.3006248","",True,False,False,False
"159762","762","2024-09-13 10:48:19.451004","22.3103123","",True,False,False,False
"160762","762","2024-09-13 10:48:19.451004","22.3103123","",True,False,False,False
"162762","762","2024-09-13 10:49:19.976013","22.32","",True,False,False,False
"163762","762","2024-09-13 10:50:20.391006","22.3006248","",True,False,False,False
"164762","762","2024-09-13 10:50:20.391006","22.3006248","",True,False,False,False
